key,name,benefits,link,email,key:userAccount
sponsor-01,Name1,Benefits1,https://es.linkedin.com,sponsor1@acme.com,user-account-sponsor-01
sponsor-02,Name2,Benefits2,https://es.linkedin.com,sponsor2@acme.com,user-account-sponsor-02
sponsor-03,Name estándar,Benefits estándar,https://es.linkedin.com,sponsor@acme.com,user-account-sponsor-03
sponsor-04,N,Benefits estándar,https://es.linkedin.com,sponsor@acme.com,user-account-sponsor-04
sponsor-05,Na,Benefits estándar,https://es.linkedin.com,sponsor@acme.com,user-account-sponsor-05
sponsor-06,Esto es un name de exactamente 75 caracteres - - - - - - - - - - - - - - - ,Benefits estándar,https://es.linkedin.com,sponsor@acme.com,user-account-sponsor-06
sponsor-07,Esto es un name de exactamente 74 caracteres - - - - - - - - - - - - - - -,Benefits estándar,https://es.linkedin.com,sponsor@acme.com,user-account-sponsor-07
sponsor-08,Esto es un name de 38 caracteres - - -,Benefits estándar,https://es.linkedin.com,sponsor@acme.com,user-account-sponsor-08
sponsor-09,公司名稱,Benefits estándar,https://es.linkedin.com,sponsor@acme.com,user-account-sponsor-09
sponsor-10,Όνομα εταιρείας,Benefits estándar,https://es.linkedin.com,sponsor@acme.com,user-account-sponsor-10
sponsor-11,<script>alert("hi!")</script>,Benefits estándar,https://es.linkedin.com,sponsor@acme.com,user-account-sponsor-11
sponsor-12,<h1>Hola Mundo!</h1>,Benefits estándar,https://es.linkedin.com,sponsor@acme.com,user-account-sponsor-12
sponsor-13,Name estándar,B,https://es.linkedin.com,sponsor@acme.com,user-account-sponsor-13
sponsor-14,Name estándar,Be,https://es.linkedin.com,sponsor@acme.com,user-account-sponsor-14
sponsor-15,Name estándar,Esto es un benefits de exactamente 100 caracteres - - - - - - - - - - - - - - - - - - - - - - - - - ,https://es.linkedin.com,sponsor@acme.com,user-account-sponsor-15
sponsor-16,Name estándar,Esto es un benefits de exactamente 99 caracteres - - - - - - - - - - - - - - - - - - - - - - - - - ,https://es.linkedin.com,sponsor@acme.com,user-account-sponsor-16
sponsor-17,Name estándar,Esto es un benefits de exactamente 50 caracteres -,https://es.linkedin.com,sponsor@acme.com,user-account-sponsor-17
sponsor-18,Name estándar,增值稅代碼,https://es.linkedin.com,sponsor@acme.com,user-account-sponsor-18
sponsor-19,Name estándar,κώδικα ΦΠΑ,https://es.linkedin.com,sponsor@acme.com,user-account-sponsor-19
sponsor-20,Name estándar,<h1>Hola Mundo!</h1>,https://es.linkedin.com,sponsor@acme.com,user-account-sponsor-20
sponsor-21,Name estándar,console.log("Hola!"),https://es.linkedin.com,sponsor@acme.com,user-account-sponsor-21
sponsor-22,Name estándar,Benefits estándar,null,sponsor@acme.com,user-account-sponsor-22
sponsor-23,Name estándar,Benefits estándar,ftp://user:pass@acme.org,sponsor@acme.com,user-account-sponsor-23
sponsor-24,Name estándar,Benefits estándar,https://es.linkedin.com/a?b,sponsor@acme.com,user-account-sponsor-24
sponsor-25,Name estándar,Benefits estándar,https://es.linkedin.com,sponsor@gmail.com,user-account-sponsor-25
sponsor-26,Name estándar,Benefits estándar,https://es.linkedin.com,sponsor@alum.us.es,user-account-sponsor-26
sponsor-27,Name estándar,Benefits estándar,https://es.linkedin.com,sponsor@hotmail.com,user-account-sponsor-27
sponsor-28,Name estándar,Benefits estándar,https://es.linkedin.com,null,user-account-sponsor-28
