key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-manager-01,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager1,manager1
user-account-manager-02,true,"UserIdentity{name: 'Pedro', surname: 'Ruiz', email: 'pedruiagu1@acme.com'}",manager2,manager2
user-account-manager-03,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager3,manager3
user-account-manager-04,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager4,manager4
user-account-manager-05,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager5,manager5
user-account-manager-06,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager6,manager6
user-account-manager-07,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager7,manager7
user-account-manager-08,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager8,manager8
user-account-manager-09,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager9,manager9
user-account-manager-10,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager10,manager10
user-account-manager-11,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager11,manager11
user-account-manager-12,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager12,manager12
user-account-manager-13,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager13,manager13
user-account-manager-14,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager14,manager14
user-account-manager-15,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager15,manager15
user-account-manager-16,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager16,manager16
